sector.code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
14010,3690914.2,2590147.85,3157800.9,6194763.4,12308278.25,14361208.26,15947825.77,18707116.31,28113502.74,25617813.82,36584842.68,21324631.05,51326045.52,49003465.14,35401331.54,28248032.26,25014335.96,17221821.98,16912539.23,15251905.52,7727985.17,4729842.21,1707279.6,735000,
14015,,,,,,504514,798659.2,330481.15,2592571.25,2698316.35,6375915.85,3028261.45,4854778.85,8344817.5,6305826.1,4243958.73,3454828.25,6051857.5,2506499.9,3729422.9,2557227.56,1244861.8,1133588,974045.6,
14020,,6842.61,41405.22,280461.18,400206.33,778442.67,1022546.36,2240616,3189156.2,4806100,10672312.8,1048317.51,22178071.21,13899493.83,5644843.3,21553150.48,18412691.7,34705208.61,23459528.33,44154376.76,22990205.58,10200872.04,5123853.12,3275000,99953.95
14021,,,,,,,,,54415,4039100,,0,4436863.5,380741.24,3580591.16,7746411.28,5065056.2,3161736.26,12949329.76,8287448.46,3185868.24,1972805.3,,,
14022,,,,,,,,,,,,,-20000,1720000,1507499.9,652500,345000,255000,,3158558,,,,,
14030,2413586.3,2327828.12,4393952.14,5562183.56,17246782.96,24013899.17,35790572.21,35541613.6,51540892.93,61080929.27,69161867.35,48670174.55,51735700.57,61400844.52,31462317.09,23548824.96,18335250.82,35406835.73,52763739.73,45128350.48,31339228.1,12755106.26,6461000,140000,
14031,,,,,,,,,782384.8,2050562.2,2667579.39,3329576.91,10617373.2,27775074.19,50932779.48,48345713.44,53145355.89,39613801.7,30501600.95,21421584.47,11890187.61,7451378.2,2398076.95,765000,
14032,,,,,,,,,614664,2249527.9,8198537.82,13606243.81,17463649.99,20313608.66,45187638.37,34863841.68,38150445.01,27410767.95,27422890.58,16268284.18,6418807.78,4941034.8,1991661.45,,
14040,,,,8487.4,13781.6,141201.4,413896.4,1359473.15,5382896.1,3788452.6,977946.6,186479,9586254.75,4718471.6,4479659.3,1601049.45,1942874.43,794465.63,705000,203000,590610,114621.16,60000,,
14050,,6082.32,36804.64,226665.76,326828.96,431569.64,941606.52,2367882.3,2922190.68,2621034.53,3787013.8,3546678.67,2941866.72,6285816.6,4411294.2,3489202.34,5402532.63,5783835.23,3377357.5,5561188,604356,2e+05,150000,150000,199907.9
14081,,10731.9,50748,34243.7,36890.8,35600.7,8253.4,456035.65,413846.7,771721.3,1688376.7,1750743.6,2773039.3,3586525.79,8579249.57,4998800.43,11221105.4,9560759.55,5221947.85,5221331.15,2622096.6,2501154.9,510000,,
